x;y;z;u;v;nx;ny;nz;tx;ty;tz;bx;by;bz;column;row
511.0416;1933.8237;1911.3528;0.6897;0.0526;-0.2546;-0.9670;-0.0000;0.9670;-0.2546;0.0070;-0.0068;0.0018;1.0000;20;1
599.2335;1908.3954;1912.0517;0.7241;0.0526;-0.2992;-0.9542;-0.0000;0.9541;-0.2992;0.0082;-0.0079;0.0024;1.0000;21;1
685.1702;1879.2494;1912.8523;0.7586;0.0526;-0.3429;-0.9394;-0.0000;0.9393;-0.3428;0.0094;-0.0089;0.0032;1.0000;22;1
768.5871;1846.6259;1913.7478;0.7931;0.0526;-0.3852;-0.9228;-0.0001;0.9228;-0.3852;0.0106;-0.0098;0.0040;0.9999;23;1
849.2550;1810.7994;1914.7304;0.8276;0.0526;-0.4261;-0.9047;-0.0001;0.9046;-0.4261;0.0117;-0.0106;0.0049;0.9999;24;1
926.9846;1772.0787;1915.7915;0.8621;0.0526;-0.4651;-0.8852;-0.0001;0.8852;-0.4651;0.0127;-0.0113;0.0059;0.9999;25;1
1001.6316;1730.8070;1916.9212;0.8966;0.0526;-0.5020;-0.8649;-0.0001;0.8648;-0.5019;0.0137;-0.0119;0.0068;0.9999;26;1
1073.1009;1687.3618;1918.1090;0.9310;0.0526;-0.5362;-0.8441;-0.0000;0.8440;-0.5361;0.0146;-0.0124;0.0078;0.9999;27;1
1141.3517;1642.1551;1919.3430;0.9655;0.0526;-0.5674;-0.8234;-0.0000;0.8233;-0.5673;0.0155;-0.0128;0.0088;0.9999;28;1
1206.4020;1595.6329;1920.6108;1.0000;0.0526;-0.5951;-0.8037;0.0000;0.8036;-0.5950;0.0162;-0.0130;0.0096;0.9999;29;1
-1206.4015;1595.6298;1841.2374;0.0000;0.1053;0.5951;-0.8036;0.0001;0.8032;0.5948;-0.0325;0.0261;0.0194;0.9995;0;2
-1141.3505;1642.1559;1838.6926;0.0345;0.1053;0.5674;-0.8234;0.0000;0.8230;0.5672;-0.0310;0.0255;0.0176;0.9995;1;2
-1073.0993;1687.3647;1836.2181;0.0690;0.1053;0.5362;-0.8441;-0.0000;0.8437;0.5360;-0.0293;0.0248;0.0157;0.9996;2;2
-1001.6298;1730.8106;1833.8388;0.1034;0.1053;0.5020;-0.8649;-0.0000;0.8646;0.5018;-0.0275;0.0238;0.0138;0.9996;3;2
-926.9828;1772.0820;1831.5774;0.1379;0.1053;0.4651;-0.8852;-0.0000;0.8849;0.4650;-0.0255;0.0226;0.0118;0.9997;4;2
-849.2533;1810.8018;1829.4549;0.1724;0.1053;0.4261;-0.9047;-0.0000;0.9044;0.4260;-0.0234;0.0211;0.0099;0.9997;5;2
-768.5857;1846.6270;1827.4904;0.2069;0.1053;0.3852;-0.9228;-0.0000;0.9226;0.3852;-0.0211;0.0195;0.0081;0.9998;6;2
-685.1691;1879.2491;1825.7010;0.2414;0.1053;0.3428;-0.9394;-0.0000;0.9392;0.3428;-0.0188;0.0177;0.0064;0.9998;7;2
-599.2327;1908.3937;1824.1020;0.2759;0.1053;0.2992;-0.9542;0.0000;0.9541;0.2992;-0.0164;0.0157;0.0049;0.9999;8;2
-511.0411;1933.8207;1822.7067;0.3103;0.1053;0.2546;-0.9670;0.0000;0.9669;0.2546;-0.0140;0.0135;0.0036;0.9999;9;2
-420.8894;1955.3244;1821.5264;0.3448;0.1053;0.2093;-0.9779;0.0000;0.9778;0.2092;-0.0115;0.0112;0.0024;0.9999;10;2
-329.0986;1972.7333;1820.5708;0.3793;0.1053;0.1633;-0.9866;0.0000;0.9865;0.1633;-0.0090;0.0088;0.0015;1.0000;11;2
-236.0110;1985.9101;1819.8474;0.4138;0.1053;0.1169;-0.9931;0.0000;0.9931;0.1169;-0.0064;0.0064;0.0008;1.0000;12;2
-141.9852;1994.7520;1819.3620;0.4483;0.1053;0.0703;-0.9975;0.0001;0.9975;0.0703;-0.0039;0.0038;0.0003;1.0000;13;2
-47.3919;1999.1903;1819.1183;0.4828;0.1053;0.0234;-0.9997;0.0001;0.9997;0.0234;-0.0013;0.0013;0.0001;1.0000;14;2
47.3914;1999.1906;1819.1184;0.5172;0.1053;-0.0234;-0.9997;0.0001;0.9997;-0.0234;0.0013;-0.0013;0.0001;1.0000;15;2
141.9847;1994.7531;1819.3620;0.5517;0.1053;-0.0703;-0.9975;0.0001;0.9975;-0.0703;0.0039;-0.0038;0.0003;1.0000;16;2
236.0106;1985.9119;1819.8474;0.5862;0.1053;-0.1169;-0.9931;0.0000;0.9931;-0.1169;0.0064;-0.0064;0.0008;1.0000;17;2
329.0984;1972.7356;1820.5708;0.6207;0.1053;-0.1633;-0.9866;0.0000;0.9865;-0.1633;0.0090;-0.0088;0.0015;1.0000;18;2
420.8895;1955.3270;1821.5264;0.6552;0.1053;-0.2092;-0.9779;0.0000;0.9778;-0.2092;0.0115;-0.0112;0.0024;0.9999;19;2
511.0415;1933.8234;1822.7066;0.6897;0.1053;-0.2546;-0.9670;0.0000;0.9669;-0.2546;0.0140;-0.0135;0.0036;0.9999;20;2
599.2334;1908.3963;1824.1019;0.7241;0.1053;-0.2992;-0.9542;0.0000;0.9541;-0.2992;0.0164;-0.0157;0.0049;0.9999;21;2
685.1701;1879.2513;1825.7009;0.7586;0.1053;-0.3429;-0.9394;-0.0000;0.9392;-0.3428;0.0188;-0.0177;0.0064;0.9998;22;2
768.5869;1846.6287;1827.4902;0.7931;0.1053;-0.3852;-0.9228;-0.0000;0.9226;-0.3852;0.0211;-0.0195;0.0081;0.9998;23;2
849.2547;1810.8027;1829.4546;0.8276;0.1053;-0.4261;-0.9047;-0.0000;0.9044;-0.4260;0.0234;-0.0211;0.0099;0.9997;24;2
926.9843;1772.0823;1831.5770;0.8621;0.1053;-0.4651;-0.8852;-0.0000;0.8849;-0.4650;0.0255;-0.0226;0.0118;0.9997;25;2
1001.6311;1730.8103;1833.8384;0.8966;0.1053;-0.5020;-0.8649;-0.0000;0.8646;-0.5018;0.0275;-0.0238;0.0138;0.9996;26;2
1073.1003;1687.3641;1836.2177;0.9310;0.1053;-0.5362;-0.8441;-0.0000;0.8437;-0.5360;0.0293;-0.0248;0.0157;0.9996;27;2
1141.3509;1642.1555;1838.6922;0.9655;0.1053;-0.5674;-0.8234;0.0000;0.8230;-0.5672;0.0310;-0.0255;0.0176;0.9995;28;2
1206.4010;1595.6305;1841.2371;1.0000;0.1053;-0.5951;-0.8036;0.0001;0.8032;-0.5948;0.0325;-0.0261;0.0194;0.9995;29;2
-1206.4013;1595.6234;1761.8652;0.0000;0.1579;0.5952;-0.8036;0.0001;0.8027;0.5944;-0.0488;0.0392;0.0291;0.9988;0;3
-1141.3504;1642.1527;1758.0431;0.0345;0.1579;0.5674;-0.8234;0.0000;0.8225;0.5668;-0.0466;0.0383;0.0265;0.9989;1;3
-1073.0993;1687.3637;1754.3282;0.0690;0.1579;0.5362;-0.8441;0.0000;0.8433;0.5357;-0.0440;0.0372;0.0236;0.9990;2;3
-1001.6299;1730.8107;1750.7571;0.1034;0.1579;0.5020;-0.8649;0.0000;0.8641;0.5016;-0.0412;0.0357;0.0207;0.9991;3;3
-926.9830;1772.0827;1747.3641;0.1379;0.1579;0.4651;-0.8852;-0.0000;0.8846;0.4648;-0.0382;0.0338;0.0178;0.9993;4;3
-849.2535;1810.8024;1744.1802;0.1724;0.1579;0.4261;-0.9047;-0.0000;0.9041;0.4258;-0.0350;0.0317;0.0149;0.9994;5;3
-768.5859;1846.6272;1741.2339;0.2069;0.1579;0.3852;-0.9228;0.0000;0.9224;0.3850;-0.0317;0.0292;0.0122;0.9995;6;3
-685.1693;1879.2486;1738.5507;0.2414;0.1579;0.3428;-0.9394;0.0000;0.9390;0.3427;-0.0282;0.0265;0.0097;0.9996;7;3
-599.2329;1908.3923;1736.1532;0.2759;0.1579;0.2992;-0.9542;0.0000;0.9539;0.2991;-0.0246;0.0235;0.0074;0.9997;8;3
-511.0413;1933.8184;1734.0614;0.3103;0.1579;0.2546;-0.9670;0.0000;0.9668;0.2546;-0.0209;0.0202;0.0054;0.9998;9;3
