x;y;z;u;v;column;row
-236.0112;1985.9009;1639.7038;0.4138;0.2105;12;4
-141.9854;1994.7418;1638.7342;0.4483;0.2105;13;4
-47.3920;1999.1796;1638.2475;0.4828;0.2105;14;4
47.3914;1999.1800;1638.2475;0.5172;0.2105;15;4
141.9848;1994.7430;1638.7343;0.5517;0.2105;16;4
236.0108;1985.9026;1639.7039;0.5862;0.2105;17;4
329.0987;1972.7276;1641.1490;0.6207;0.2105;18;4
420.8898;1955.3207;1643.0581;0.6552;0.2105;19;4
511.0419;1933.8188;1645.4163;0.6897;0.2105;20;4
599.2339;1908.3935;1648.2046;0.7241;0.2105;21;4
685.1706;1879.2502;1651.4005;0.7586;0.2105;22;4
768.5875;1846.6288;1654.9776;0.7931;0.2105;23;4
849.2552;1810.8037;1658.9058;0.8276;0.2105;24;4
926.9848;1772.0831;1663.1511;0.8621;0.2105;25;4
1001.6316;1730.8099;1667.6759;0.8966;0.2105;26;4
1073.1006;1687.3611;1672.4387;0.9310;0.2105;27;4
1141.3511;1642.1480;1677.3944;0.9655;0.2105;28;4
1206.4011;1595.6164;1682.4939;1.0000;0.2105;29;4
-1206.4022;1595.6082;1603.1219;0.0000;0.2632;0;5
-1141.3513;1642.1445;1596.7452;0.0345;0.2632;1;5
-1073.1002;1687.3603;1590.5489;0.0690;0.2632;2;5
-1001.6308;1730.8104;1584.5943;0.1034;0.2632;3;5
-926.9839;1772.0838;1578.9377;0.1379;0.2632;4;5
-849.2544;1810.8039;1573.6308;0.1724;0.2632;5;5
-768.5867;1846.6283;1568.7207;0.2069;0.2632;6;5
-685.1701;1879.2485;1564.2496;0.2414;0.2632;7;5
-599.2336;1908.3908;1560.2551;0.2759;0.2632;8;5
-511.0419;1933.8152;1556.7702;0.3103;0.2632;9;5
-420.8901;1955.3164;1553.8230;0.3448;0.2632;10;5
-329.0991;1972.7229;1551.4371;0.3793;0.2632;11;5
-236.0114;1985.8979;1549.6312;0.4138;0.2632;12;5
-141.9855;1994.7384;1548.4195;0.4483;0.2632;13;5
-47.3921;1999.1760;1547.8113;0.4828;0.2632;14;5
47.3914;1999.1764;1547.8113;0.5172;0.2632;15;5
141.9849;1994.7396;1548.4196;0.5517;0.2632;16;5
236.0109;1985.8997;1549.6313;0.5862;0.2632;17;5
329.0989;1972.7252;1551.4373;0.6207;0.2632;18;5
420.8901;1955.3190;1553.8232;0.6552;0.2632;19;5
511.0422;1933.8179;1556.7704;0.6897;0.2632;20;5
599.2342;1908.3934;1560.2553;0.7241;0.2632;21;5
685.1710;1879.2508;1564.2497;0.7586;0.2632;22;5
768.5879;1846.6299;1568.7208;0.7931;0.2632;23;5
849.2557;1810.8049;1573.6309;0.8276;0.2632;24;5
926.9852;1772.0841;1578.9378;0.8621;0.2632;25;5
1001.6321;1730.8101;1584.5944;0.8966;0.2632;26;5
1073.1011;1687.3598;1590.5490;0.9310;0.2632;27;5
1141.3516;1642.1442;1596.7454;0.9655;0.2632;28;5
1206.4016;1595.6090;1603.1223;1.0000;0.2632;29;5
-1206.4027;1595.6019;1523.7497;0.0000;0.3158;0;6
-1141.3518;1642.1419;1516.0955;0.0345;0.3158;1;6
-1073.1007;1687.3602;1508.6585;0.0690;0.3158;2;6
-1001.6312;1730.8119;1501.5120;0.1034;0.3158;3;6
-926.9843;1772.0863;1494.7236;0.1379;0.3158;4;6
-849.2547;1810.8067;1488.3551;0.1724;0.3158;5;6
-768.5871;1846.6309;1482.4630;0.2069;0.3158;6;6
-685.1704;1879.2508;1477.0979;0.2414;0.3158;7;6
-599.2339;1908.3924;1472.3049;0.2759;0.3158;8;6
-511.0421;1933.8161;1468.1234;0.3103;0.3158;9;6
-420.8903;1955.3165;1464.5872;0.3448;0.3158;10;6
-329.0993;1972.7223;1461.7245;0.3793;0.3158;11;6
-236.0115;1985.8967;1459.5577;0.4138;0.3158;12;6
-141.9856;1994.7369;1458.1039;0.4483;0.3158;13;6
-47.3921;1999.1743;1457.3741;0.4828;0.3158;14;6
47.3914;1999.1747;1457.3741;0.5172;0.3158;15;6
141.9850;1994.7380;1458.1039;0.5517;0.3158;16;6
236.0110;1985.8985;1459.5579;0.5862;0.3158;17;6
329.0990;1972.7246;1461.7247;0.6207;0.3158;18;6
420.8903;1955.3191;1464.5874;0.6552;0.3158;19;6
511.0425;1933.8188;1468.1236;0.6897;0.3158;20;6
599.2345;1908.3949;1472.3051;0.7241;0.3158;21;6
685.1713;1879.2530;1477.0981;0.7586;0.3158;22;6
768.5882;1846.6326;1482.4631;0.7931;0.3158;23;6
849.2561;1810.8077;1488.3552;0.8276;0.3158;24;6
926.9857;1772.0866;1494.7236;0.8621;0.3158;25;6
1001.6325;1730.8117;1501.5121;0.8966;0.3158;26;6
1073.1016;1687.3597;1508.6586;0.9310;0.3158;27;6
1141.3521;1642.1416;1516.0957;0.9655;0.3158;28;6
1206.4021;1595.6026;1523.7501;1.0000;0.3158;29;6
-1206.4032;1595.5967;1444.3769;0.0000;0.3684;0;7
-1141.3522;1642.1405;1435.4452;0.0345;0.3684;1;7
-1073.1010;1687.3614;1426.7675;0.0690;0.3684;2;7
-1001.6315;1730.8148;1418.4291;0.1034;0.3684;3;7
-926.9845;1772.0901;1410.5088;0.1379;0.3684;4;7
-849.2550;1810.8109;1403.0787;0.1724;0.3684;5;7
-768.5872;1846.6350;1396.2046;0.2069;0.3684;6;7
-685.1705;1879.2544;1389.9456;0.2414;0.3684;7;7
-599.2340;1908.3954;1384.3540;0.2759;0.3684;8;7
-511.0422;1933.8184;1379.4759;0.3103;0.3684;9;7
-420.8903;1955.3181;1375.3507;0.3448;0.3684;10;7
-329.0994;1972.7233;1372.0111;0.3793;0.3684;11;7
